City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
452,villa de arista,22.65,-100.8333,12.45,87,100,1.03,MX,1701662333
453,jwaneng,-24.6004,24.7303,20.63,29,62,1.25,BW,1701662333
454,polyarnyy,69.1989,33.4478,-5.51,95,100,2.03,RU,1701662333
455,mokhotlong,-29.2894,29.0675,14.42,71,44,2.52,LS,1701662333
456,george town,5.4112,100.3354,31.96,79,20,2.06,MY,1701662334
457,wynyard,-41.0,145.7167,17.1,75,100,3.93,AU,1701662334
458,yunguyo,-16.25,-69.0833,9.72,78,81,2.39,PE,1701662334
459,arawa,-6.2132,155.5367,26.66,86,100,2.43,PG,1701662334
460,nouadhibou,20.931,-17.0347,18.99,77,83,5.66,MR,1701662334
461,murghob,38.1702,73.9667,-10.88,58,27,1.51,TJ,1701662334
462,praia da vitoria,38.7333,-27.0667,13.2,87,0,3.06,PT,1701662334
463,eraan,9.0629,117.7016,31.16,60,35,1.94,PH,1701662335
464,menongue,-14.6585,17.691,17.48,97,100,2.76,AO,1701662335
465,adrar,20.5022,-10.0711,18.26,39,0,3.66,MR,1701662335
466,novodvinsk,64.4165,40.8122,-15.14,99,89,1.1,RU,1701662335
467,yabassi,4.457,9.9682,23.49,99,88,0.41,CM,1701662335
468,callao,-12.0667,-77.15,20.95,77,75,4.63,PE,1701662335
469,crossett,33.1282,-91.9612,12.99,63,100,2.72,US,1701662335
470,whitecourt,54.1502,-115.6855,-4.42,100,75,3.09,CA,1701662116
471,askiz,53.1319,90.5264,-2.48,74,80,10.83,RU,1701662336
472,kapuskasing,49.4169,-82.4331,-9.95,79,20,4.12,CA,1701662337
473,huaquillas,-3.4833,-80.2333,25.94,83,75,1.54,EC,1701662337
474,darnah,32.767,22.6367,15.97,59,33,7.22,LY,1701662337
475,eurajoki,61.2,21.7333,-16.99,99,87,1.3,FI,1701662337
476,prince albert,53.2001,-105.7677,-13.03,85,0,4.12,CA,1701662224
477,monrovia,6.3005,-10.7969,24.87,82,83,1.96,LR,1701662338
478,hlobyne,49.3878,33.2596,-2.16,73,90,4.96,UA,1701662338
479,kargil,34.5667,76.1,-3.54,43,46,1.06,IN,1701662338
480,fada,9.5667,8.3,20.15,39,15,1.63,NG,1701662338
481,yeniseysk,58.4497,92.1703,-8.09,89,100,5.73,RU,1701662338
482,fuglafjordur,62.244,-6.814,0.26,64,95,4.32,FO,1701662338
483,kangding,30.0513,101.9603,11.14,44,2,1.35,CN,1701662338
484,illizi,26.4833,8.4667,8.89,37,0,1.96,DZ,1701662338
